Stock,Company_Name,Market Capitalization,5 Year Average Dividend Yield %,PEG Ratio,PE Ratio,Beta 5Y Monthly,Book Value Per Share,price
ACIW,"ACI WORLDWIDE, INC.",3610000000,0,3.18,40.53,1.12,10.03,30.15
DDD,3D SYSTEMS CORPORATION,3290000000,0,8.29,76.54,1.24,3.73,26.6
CVLT,"COMMVAULT SYSTEMS, INC.",3480000000,0,3.63,547.62,0.7,7.7,73.71
IDCC,"INTERDIGITAL, INC.",2090000000,1.98,1.55,71.49,1.11,22.83,68.11
MDRX,ALLSCRIPTS HEALTHCARE S..,1690000000,0,2.31,15.35,1.07,11.15,13.97
ADTN,"ADTRAN, INC.",907620000,2.5,14.63,51.92,1.41,7.74,18.95
DBD,"DIEBOLD NIXDORF, INCORP..",826630000,0,-5.26,9.36,3.26,-10.87,10.26
MSFT,MICROSOFT CORPORATION,2.20E+12,1.48,3.09,36.41,0.8,18.88,294.85
NVDA,NVIDIA CORPORATION,5.11E+11,0.28,3.07,73.17,1.39,8.47,208.31
CRM,"SALESFORCE.COM, INC.",2.66E+11,0,3.93,109.58,1.04,56.77,272.48
ORCL,ORACLE CORPORATION,2.50E+11,1.54,2.48,19.51,0.78,-0.56,94.39
TXN,TEXAS INSTRUMENTS,1.79E+11,2.41,2.15,27.04,0.98,12.08,195.24
QCOM,"QUALCOMM, INC.",1.44E+11,3.2,0.63,15.94,1.35,7.25,126.55
NOW,"SERVICENOW, INC.",1.25E+11,0,2.82,745.2,0.94,16.53,617.58
MU,"MICRON TECHNOLOGY, INC.",78740000000,0,0.84,13.61,1.27,39.12,70.12
WDAY,WORKDAY INC.,62510000000,0,3.11,69.88,1.3,15.6,255.9
VMW,"VMWARE, INC.",62860000000,0,1.26,30.83,0.89,22.96,147.83
SNPS,SYNOPSYS INC.,44740000000,0,2.28,61.11,1.11,33.76,291.66
TWTR,"TWITTER, INC.",47770000000,0,-1.84,122.16,0.82,9.69,63.68
PANW,"PALO ALTO NETWORKS, INC..",46330000000,0,2.48,80.27,1.38,6.52,492.79
MCHP,"MICROCHIP TECHNOLOGY, I..",40560000000,1.59,1.75,87.07,1.64,20.14,146.14
MSI,"MOTOROLA SOLUTIONS, INC..",39330000000,1.69,1.92,34.93,0.79,-2.12,236.76
XLNX,"XILINX, INC.",37560000000,1.59,3.53,49.44,1,12.69,156.27
SWKS,"SKYWORKS SOLUTIONS, INC..",26480000000,1.41,0.79,18.89,1.11,30.3,160.86
VRSN,VERISIGN. INC.,23120000000,0,6.83,37.43,0.81,-12.66,205.94
SPLK,SPLUNK INC.,23030000000,0,12.06,-123.69,1.22,7.01,150.9
NTAP,"NETAPP, INC.",20190000000,2.46,1.43,24.02,1.27,3.21,91.51
ON,ON SEMICONDUCTOR CORPOR..,19650000000,0,0.56,37.41,1.83,8.79,44.48
TER,"TERADYNE, INC.",18060000000,0.66,1.53,21.42,1.3,15.07,109.56
TYL,"TYLER TECHNOLOGIES, INC..",18750000000,0,3.21,123.06,0.62,51.62,475.91
STX,SEAGATE TECHNOLOGY HOLD..,19240000000,5.14,1.1,15.89,1.14,2.78,79.93
SSNC,SS&C TECHNOLOGIES HOLDI..,17820000000,0.7,1.79,25.86,1.55,22.82,71.3
WDC,WESTERN DIGITAL CORPORA..,17750000000,0,0.34,21.41,1.63,34.81,56.59
NUAN,"NUANCE COMMUNICATIONS, ..",17390000000,0,11.48,74.61,1.21,5.26,55.21
NLOK,NORTONLIFELOCK INC.,14690000000,1.58,0.91,20.53,1.09,-0.86,25.67
PTC,PTC INC.,14070000000,0,1.74,59.64,1.23,14.71,120.04
SYNA,SYNAPTICS INCORPORATED,6940000000,0,1.89,85.34,1.28,27.38,176.76
SLAB,SILICON LABORATORIES IN..,6150000000,0,6.89,163.61,1.03,27.43,138.84
TDC,TERADATA CORPORATION,6020000000,0,3.54,61.97,1.19,4.32,55.18
NCR,NCR CORPORATION,5440000000,0,2.96,9.72,1.75,8.8,41.24
SMTC,SEMTECH CORPORATION,5050000000,0,2.02,56.8,1.55,11,77.46
SAIC,SCIENCE APPLICATIONS IN..,4940000000,1.67,1.69,17.64,0.87,27.9,87.95
VIAV,VIAVI SOLUTIONS INC.,3700000000,0,1.08,77.15,0.72,3.39,15.28
VSAT,"VIASAT, INC.",4060000000,0,4.95,113.08,1.1,35.74,56.9
PRGS,PROGRESS SOFTWARE CORPO..,2160000000,0,6.48,27.18,1.18,9.07,49.08
PBI,PITNEY BOWES INC.,1280000000,6.36,0.77,60.5,2.62,0.31,7.28
POLY,"PLANTRONICS, INC.",1040000000,0,1.13,5.58,1.88,-2.87,23.29
